data,cambio,desemprego,ipca,pib,selic
2020-11-01,,14.3,0.89,679797.6,
2020-11-15,,,,,2.0
2020-11-16,5.4198,,,,2.0
2020-11-17,5.3968,,,,2.0
2020-11-18,5.2932,,,,2.0
2020-11-19,5.333,,,,2.0
2020-11-20,5.3505,,,,2.0
2020-11-21,,,,,2.0
2020-11-22,,,,,2.0
2020-11-23,5.3828,,,,2.0
2020-11-24,5.4037,,,,2.0
2020-11-25,5.3508,,,,2.0
2020-11-26,5.3201,,,,2.0
2020-11-27,5.3494,,,,2.0
2020-11-28,,,,,2.0
2020-11-29,,,,,2.0
2020-11-30,5.3317,,,,2.0
2020-12-01,5.2789,14.2,1.35,705468.7,2.0
2020-12-02,5.2267,,,,2.0
2020-12-03,5.1625,,,,2.0
2020-12-04,5.1706,,,,2.0
2020-12-05,,,,,2.0
2020-12-06,,,,,2.0
2020-12-07,5.1018,,,,2.0
2020-12-08,5.092,,,,2.0
2020-12-09,5.1109,,,,2.0
2020-12-10,5.0852,,,,2.0
2020-12-11,5.0691,,,,2.0
2020-12-12,,,,,2.0
2020-12-13,,,,,2.0
2020-12-14,5.0578,,,,2.0
2020-12-15,5.0968,,,,2.0
2020-12-16,5.1057,,,,2.0
2020-12-17,5.0612,,,,2.0
2020-12-18,5.0986,,,,2.0
2020-12-19,,,,,2.0
2020-12-20,,,,,2.0
2020-12-21,5.1572,,,,2.0
2020-12-22,5.1473,,,,2.0
2020-12-23,5.174,,,,2.0
2020-12-24,5.18,,,,2.0
2020-12-25,,,,,2.0
2020-12-26,,,,,2.0
2020-12-27,,,,,2.0
2020-12-28,5.239,,,,2.0
2020-12-29,5.1942,,,,2.0
2020-12-30,5.1967,,,,2.0
2020-12-31,5.1967,,,,2.0
2021-01-01,,14.4,0.25,679779.0,2.0
2021-01-02,,,,,2.0
2021-01-03,,,,,2.0
2021-01-04,5.1626,,,,2.0
2021-01-05,5.3269,,,,2.0
2021-01-06,5.3182,,,,2.0
2021-01-07,5.3433,,,,2.0
2021-01-08,5.3683,,,,2.0
2021-01-09,,,,,2.0
2021-01-10,,,,,2.0
2021-01-11,5.4966,,,,2.0
2021-01-12,5.4637,,,,2.0
2021-01-13,5.307,,,,2.0
2021-01-14,5.2617,,,,2.0
2021-01-15,5.2714,,,,2.0
2021-01-16,,,,,2.0
2021-01-17,,,,,2.0
2021-01-18,5.2788,,,,2.0
2021-01-19,5.2945,,,,2.0
2021-01-20,5.3033,,,,2.0
2021-01-21,5.3166,,,,2.0
2021-01-22,5.4301,,,,2.0
2021-01-23,,,,,2.0
2021-01-24,,,,,2.0
2021-01-25,5.5089,,,,2.0
2021-01-26,5.3865,,,,2.0
2021-01-27,5.3824,,,,2.0
2021-01-28,5.4282,,,,2.0
2021-01-29,5.4759,,,,2.0
2021-01-30,,,,,2.0
2021-01-31,,,,,2.0
2021-02-01,5.4608,14.6,0.86,707127.4,2.0
2021-02-02,5.3875,,,,2.0
2021-02-03,5.3423,,,,2.0
2021-02-04,5.391,,,,2.0
2021-02-05,5.3884,,,,2.0
2021-02-06,,,,,2.0
2021-02-07,,,,,2.0
2021-02-08,5.367,,,,2.0
2021-02-09,5.4216,,,,2.0
2021-02-10,5.4024,,,,2.0
2021-02-11,5.3626,,,,2.0
2021-02-12,5.3815,,,,2.0
2021-02-13,,,,,2.0
2021-02-14,,,,,2.0
2021-02-15,,,,,2.0
2021-02-16,,,,,2.0
2021-02-17,5.4138,,,,2.0
2021-02-18,5.4238,,,,2.0
2021-02-19,5.3924,,,,2.0
2021-02-20,,,,,2.0
2021-02-21,,,,,2.0
2021-02-22,5.5044,,,,2.0
2021-02-23,5.449,,,,2.0
2021-02-24,5.4182,,,,2.0
2021-02-25,5.46,,,,2.0
2021-02-26,5.5302,,,,2.0
2021-02-27,,,,,2.0
2021-02-28,,,,,2.0
2021-03-01,5.5832,14.9,0.93,769763.7,2.0
2021-03-02,5.6844,,,,2.0
2021-03-03,5.7342,,,,2.0
2021-03-04,5.6008,,,,2.0
2021-03-05,5.687,,,,2.0
2021-03-06,,,,,2.0
2021-03-07,,,,,2.0
2021-03-08,5.7343,,,,2.0
2021-03-09,5.8397,,,,2.0
2021-03-10,5.7449,,,,2.0
2021-03-11,5.589,,,,2.0
2021-03-12,5.564,,,,2.0
2021-03-13,,,,,2.0
2021-03-14,,,,,2.0
2021-03-15,5.6296,,,,2.0
2021-03-16,5.5851,,,,2.0
2021-03-17,5.6579,,,,2.0
2021-03-18,5.5474,,,,2.75
2021-03-19,5.5082,,,,2.75
2021-03-20,,,,,2.75
2021-03-21,,,,,2.75
2021-03-22,5.5269,,,,2.75
2021-03-23,5.4951,,,,2.75
2021-03-24,5.533,,,,2.75
2021-03-25,5.6585,,,,2.75
2021-03-26,5.7042,,,,2.75
2021-03-27,,,,,2.75
2021-03-28,,,,,2.75
2021-03-29,5.7925,,,,2.75
2021-03-30,5.7642,,,,2.75
2021-03-31,5.6973,,,,2.75
2021-04-01,5.6849,14.8,0.31,737671.2,2.75
2021-04-02,,,,,2.75
2021-04-03,,,,,2.75
2021-04-04,,,,,2.75
2021-04-05,5.6579,,,,2.75
2021-04-06,5.6263,,,,2.75
2021-04-07,5.5864,,,,2.75
2021-04-08,5.5817,,,,2.75
2021-04-09,5.6445,,,,2.75
2021-04-10,,,,,2.75
2021-04-11,,,,,2.75
